Ref,Val,Package,PosX,PosY,Rot,Side
"C6","100nF","C_0805_2012Metric",24.000000,-63.000000,180.000000,bottom
"C11","10uF/25V","C_1210_3225Metric",60.000000,-72.000000,180.000000,bottom
"C12","100nF","C_0805_2012Metric",68.000000,-72.000000,180.000000,bottom
"C14","100nF","C_0805_2012Metric",60.000000,-60.000000,180.000000,bottom
"C19","100nF","C_0805_2012Metric",36.000000,-63.000000,180.000000,bottom
"LS1","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",16.662500,-19.000000,90.000000,bottom
"LS2","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",26.187500,-19.000000,90.000000,bottom
"LS3","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",35.712500,-19.000000,90.000000,bottom
"LS4","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",45.237500,-19.000000,90.000000,bottom
"LS5","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",54.762500,-19.000000,90.000000,bottom
"LS6","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",64.287499,-19.000000,90.000000,bottom
"LS7","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",73.812500,-19.000000,90.000000,bottom
"LS8","TCRT5000 (reflective sensor, filtered PT; PC817 base symbol so ERC checks pins)","TCRT5000",83.337500,-19.000000,90.000000,bottom
"R1","100k","R_0805_2012Metric",26.000000,-54.000000,180.000000,bottom
"R2","100k","R_0805_2012Metric",16.000000,-63.000000,180.000000,bottom
"R3","39k","R_0805_2012Metric",20.000000,-63.000000,180.000000,bottom
"R10","10k","R_0805_2012Metric",76.000000,-104.000000,180.000000,bottom
"R12","5.1k","R_0805_2012Metric",64.500000,-108.500000,180.000000,bottom
"R13","47k","R_0805_2012Metric",25.000000,-3.000000,180.000000,bottom
"R14","33","R_0805_2012Metric",25.000000,-6.000000,180.000000,bottom
"R15","47k","R_0805_2012Metric",75.000000,-3.000000,180.000000,bottom
"R16","33","R_0805_2012Metric",75.000000,-6.000000,180.000000,bottom
"R17","47k","R_0805_2012Metric",7.500000,-19.000000,180.000000,bottom
"R18","33","R_0805_2012Metric",7.500000,-22.000000,180.000000,bottom
"R19","47k","R_0805_2012Metric",92.500000,-19.000000,180.000000,bottom
"R20","33","R_0805_2012Metric",92.500000,-22.000000,180.000000,bottom
"R21","47k","R_0805_2012Metric",22.000000,-39.000000,180.000000,bottom
"R22","33","R_0805_2012Metric",22.000000,-42.000000,180.000000,bottom
"R23","47k","R_0805_2012Metric",78.000000,-39.000000,180.000000,bottom
"R24","33","R_0805_2012Metric",78.000000,-42.000000,180.000000,bottom
"R25","47k","R_0805_2012Metric",16.662500,-26.500000,180.000000,bottom
"R26","120","R_0805_2012Metric",20.662500,-26.500000,180.000000,bottom
"R27","47k","R_0805_2012Metric",26.187500,-26.500000,180.000000,bottom
"R28","120","R_0805_2012Metric",26.187500,-29.000000,180.000000,bottom
"R29","47k","R_0805_2012Metric",35.712500,-26.500000,180.000000,bottom
"R30","120","R_0805_2012Metric",35.712500,-29.000000,180.000000,bottom
"R31","47k","R_0805_2012Metric",45.237500,-26.500000,180.000000,bottom
"R32","120","R_0805_2012Metric",45.237500,-29.000000,180.000000,bottom
"R33","47k","R_0805_2012Metric",54.762500,-26.500000,180.000000,bottom
"R34","120","R_0805_2012Metric",54.762500,-29.000000,180.000000,bottom
"R35","47k","R_0805_2012Metric",64.287499,-26.500000,180.000000,bottom
"R36","120","R_0805_2012Metric",64.287499,-29.000000,180.000000,bottom
"R37","47k","R_0805_2012Metric",73.812500,-26.500000,180.000000,bottom
"R38","120","R_0805_2012Metric",73.812500,-29.000000,180.000000,bottom
"R39","47k","R_0805_2012Metric",83.337500,-26.500000,180.000000,bottom
"R40","120","R_0805_2012Metric",79.337500,-26.500000,180.000000,bottom
"R56","5.1k","R_0805_2012Metric",60.000000,-108.500000,180.000000,bottom
"R67","10k","R_0805_2012Metric",43.000000,-108.000000,180.000000,bottom
"R68","15k","R_0805_2012Metric",47.000000,-108.000000,180.000000,bottom
"R69","100k","R_0805_2012Metric",66.000000,-47.000000,180.000000,bottom
"R70","220k","R_0805_2012Metric",76.000000,-47.000000,180.000000,bottom
"R71","110k","R_0805_2012Metric",80.000000,-47.000000,180.000000,bottom
"R73","100k","R_0805_2012Metric",95.000000,-54.000000,180.000000,bottom
"R74","11k","R_0805_2012Metric",95.000000,-58.000000,180.000000,bottom
"R75","100k","R_0805_2012Metric",28.000000,-63.000000,180.000000,bottom
"R76","100k","R_0805_2012Metric",32.000000,-63.000000,180.000000,bottom
"U6","USBLC6-2SC6 (SOT-23-6; 2P6 base symbol so ERC checks pins)","SOT-23-6",54.000000,-106.000000,180.000000,bottom
"BZ1","CMT-8504-100-SMT (magnetic transducer 8.5mm, 15R coil, 4kHz; pads 3/4 are mechanical dummies)","MagneticBuzzer_CUI_CMT-8504-100-SMT",52.200000,-98.500000,0.000000,top
"C1","10uF/25V","C_1210_3225Metric",32.000000,-54.000000,0.000000,top
"C2","100nF","C_0805_2012Metric",37.000000,-54.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",63.500000,-48.500000,0.000000,top
"C4","10uF/25V","C_1210_3225Metric",57.000000,-50.500000,0.000000,top
"C5","22uF","C_0805_2012Metric",71.000000,-54.000000,0.000000,top
"C7","22uF","C_0805_2012Metric",71.500000,-58.500000,0.000000,top
"C8","100nF","C_0805_2012Metric",48.400000,-108.700000,90.000000,top
"C9","1uF","C_0805_2012Metric",40.000000,-60.000000,0.000000,top
"C10","10uF","C_0805_2012Metric",50.800000,-104.800000,0.000000,top
"C13","100nF","C_0805_2012Metric",16.800000,-49.000000,0.000000,top
"C15","100nF","C_0805_2012Metric",85.000000,-50.000000,0.000000,top
"C16","22uF/25V","C_1210_3225Metric",92.500000,-53.500000,0.000000,top
"C17","22uF/25V","C_1210_3225Metric",92.500000,-58.500000,0.000000,top
"C18","10uF/25V","C_1210_3225Metric",76.000000,-50.000000,0.000000,top
"C20","100nF","C_0805_2012Metric",44.000000,-63.000000,0.000000,top
"C23","100nF","C_0805_2012Metric",44.000000,-56.000000,0.000000,top
"C24","10uF","C_0805_2012Metric",44.000000,-59.500000,0.000000,top
"C30","220uF/16V","CP_Elec_6.3x7.7",74.500000,-66.000000,0.000000,top
"D1","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",21.430000,-16.270000,90.000000,top
"D2","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",78.570000,-16.270000,90.000000,top
"D3","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",16.971974,-30.668025,45.000000,top
"D4","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",81.231974,-28.871974,-45.000000,top
"D5","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",15.000000,-45.470000,90.000000,top
"D6","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",85.000000,-42.930000,-90.000000,top
"D15","Indicator LED 0603 super-red AlInGaP, high-efficiency bin REQUIRED at 1.4mA (e.g. Kingbright APT1608SURCK; LD271 base symbol for ERC)","LED_0603_1608Metric",23.600000,-24.500000,0.000000,top
"D16","Indicator LED 0603 super-red AlInGaP, high-efficiency bin REQUIRED at 1.4mA (e.g. Kingbright APT1608SURCK; LD271 base symbol for ERC)","LED_0603_1608Metric",26.187500,-26.500000,0.000000,top
"D17","Indicator LED 0603 super-red AlInGaP, high-efficiency bin REQUIRED at 1.4mA (e.g. Kingbright APT1608SURCK; LD271 base symbol for ERC)","LED_0603_1608Metric",35.712500,-26.500000,0.000000,top
"D18","Indicator LED 0603 super-red AlInGaP, high-efficiency bin REQUIRED at 1.4mA (e.g. Kingbright APT1608SURCK; LD271 base symbol for ERC)","LED_0603_1608Metric",45.237500,-26.500000,0.000000,top
"D19","Indicator LED 0603 super-red AlInGaP, high-efficiency bin REQUIRED at 1.4mA (e.g. Kingbright APT1608SURCK; LD271 base symbol for ERC)","LED_0603_1608Metric",54.762500,-26.500000,0.000000,top
"D20","Indicator LED 0603 super-red AlInGaP, high-efficiency bin REQUIRED at 1.4mA (e.g. Kingbright APT1608SURCK; LD271 base symbol for ERC)","LED_0603_1608Metric",64.287499,-26.500000,0.000000,top
"D21","Indicator LED 0603 super-red AlInGaP, high-efficiency bin REQUIRED at 1.4mA (e.g. Kingbright APT1608SURCK; LD271 base symbol for ERC)","LED_0603_1608Metric",73.812500,-26.500000,0.000000,top
"D22","Indicator LED 0603 super-red AlInGaP, high-efficiency bin REQUIRED at 1.4mA (e.g. Kingbright APT1608SURCK; LD271 base symbol for ERC)","LED_0603_1608Metric",76.400000,-24.500000,0.000000,top
"D23","Indicator LED 0603 super-red AlInGaP, high-eff bin (e.g. APT1608SURCK)","LED_0603_1608Metric",21.430000,-19.600000,0.000000,top
"D24","Indicator LED 0603 super-red AlInGaP, high-eff bin (e.g. APT1608SURCK)","LED_0603_1608Metric",78.570000,-19.600000,0.000000,top
"D25","Indicator LED 0603 super-red AlInGaP, high-eff bin (e.g. APT1608SURCK)","LED_0603_1608Metric",8.500000,-32.000000,0.000000,top
"D26","Indicator LED 0603 super-red AlInGaP, high-eff bin (e.g. APT1608SURCK)","LED_0603_1608Metric",91.500000,-32.000000,0.000000,top
"D27","Indicator LED 0603 super-red AlInGaP, high-eff bin (e.g. APT1608SURCK)","LED_0603_1608Metric",20.500000,-46.500000,0.000000,top
"D28","Indicator LED 0603 super-red AlInGaP, high-eff bin (e.g. APT1608SURCK)","LED_0603_1608Metric",79.500000,-46.500000,0.000000,top
"D29","1N4148W (flyback clamp across the buzzer coil)","D_SOD-123",61.200000,-97.600000,90.000000,top
"F1","2.6A/16V PPTC","Fuse_1812_4532Metric",17.500000,-58.000000,0.000000,top
"J1","BATT_IN_2S","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",5.000000,-108.500000,0.000000,top
"J5","MOTOR_A_N20_ENCODER","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",35.500000,-70.000000,0.000000,top
"J6","MOTOR_B_N20_ENCODER","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",85.500000,-64.000000,0.000000,top
"J7","USB-C rear (GCT USB4105; VBUS unused -- battery powers the board)","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",54.000000,-117.175001,0.000000,top
"J8","JTAG_1x6 (3V3,TMS,TCK,TDO,TDI,GND)","PinHeader_1x06_P2.54mm_Vertical",10.500000,-102.000000,90.000000,top
"J9","BALANCE_2S","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",15.500000,-108.500000,0.000000,top
"J10","BATT_IN_XT60 (parallel option -- ONE PACK ONLY)","AMASS_XT60-M_1x02_P7.20mm_Vertical",85.680000,-104.800000,0.000000,top
"L1","4.7uH","L_Bourns_SRP4020TA",66.000000,-53.500000,0.000000,top
"L2","4.7uH","L_Bourns_SRP4020TA",86.500000,-57.500000,0.000000,top
"Q1","Q_PMOS reverse guard (DMP3098L-7: Vgs +/-20V, 2S-safe)","SOT-23",26.000000,-54.000000,0.000000,top
"Q2","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",30.950000,-16.270000,90.000000,top
"Q3","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",69.050000,-16.270000,90.000000,top
"Q4","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",13.400000,-25.300000,135.000000,top
"Q5","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",86.600000,-25.300000,45.000000,top
"Q6","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",15.000000,-37.870000,90.000000,top
"Q7","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",85.000000,-35.330000,-90.000000,top
"Q16","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",40.000000,-37.500000,0.000000,top
"Q17","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",50.000000,-37.500000,0.000000,top
"Q18","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",40.000000,-42.000000,0.000000,top
"Q19","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",50.000000,-42.000000,0.000000,top
"Q20","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",23.500000,-38.500000,0.000000,top
"Q21","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",26.187500,-33.500000,0.000000,top
"Q22","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",35.712500,-33.500000,0.000000,top
"Q23","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",45.237500,-33.500000,0.000000,top
"Q24","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",54.762500,-33.500000,0.000000,top
"Q25","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",64.287499,-33.500000,0.000000,top
"Q26","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",73.812500,-33.500000,0.000000,top
"Q27","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",76.500000,-38.500000,0.000000,top
"Q28","BSS84 (PMOS indicator driver; Q_PMOS base symbol)","SOT-23",25.000000,-43.000000,0.000000,top
"Q29","BSS84 (PMOS indicator driver; Q_PMOS base symbol)","SOT-23",75.000000,-43.000000,0.000000,top
"Q30","BSS84 (PMOS indicator driver; Q_PMOS base symbol)","SOT-23",30.000000,-43.000000,0.000000,top
"Q31","BSS84 (PMOS indicator driver; Q_PMOS base symbol)","SOT-23",70.000000,-43.000000,0.000000,top
"Q32","BSS84 (PMOS indicator driver; Q_PMOS base symbol)","SOT-23",35.000000,-43.000000,0.000000,top
"Q33","BSS84 (PMOS indicator driver; Q_PMOS base symbol)","SOT-23",65.000000,-43.000000,0.000000,top
"Q34","MMBT2222A (buzzer low-side driver; Q_NPN_BEC base symbol so ERC checks pins)","SOT-23",59.500000,-102.300000,180.000000,top
"R6","10k","R_0805_2012Metric",22.000000,-66.000000,0.000000,top
"R7","10k","R_0805_2012Metric",28.000000,-66.000000,0.000000,top
"R8","10k","R_0805_2012Metric",40.000000,-47.000000,0.000000,top
"R9","10k","R_0805_2012Metric",44.000000,-47.000000,0.000000,top
"R11","10k","R_0805_2012Metric",34.000000,-60.000000,0.000000,top
"R41","1k","R_0805_2012Metric",23.600000,-28.000000,90.000000,top
"R42","1k","R_0805_2012Metric",26.187500,-30.000000,0.000000,top
"R43","1k","R_0805_2012Metric",35.712500,-30.000000,0.000000,top
"R44","1k","R_0805_2012Metric",45.237500,-30.000000,0.000000,top
"R45","1k","R_0805_2012Metric",54.762500,-30.000000,0.000000,top
"R46","1k","R_0805_2012Metric",64.287499,-30.000000,0.000000,top
"R47","1k","R_0805_2012Metric",73.812500,-30.000000,0.000000,top
"R48","1k","R_0805_2012Metric",76.400000,-28.000000,90.000000,top
"R49","1k","R_0805_2012Metric",27.000000,-38.000000,0.000000,top
"R50","1k","R_0805_2012Metric",73.000000,-38.000000,0.000000,top
"R51","1k","R_0805_2012Metric",31.000000,-38.000000,0.000000,top
"R52","1k","R_0805_2012Metric",69.000000,-38.000000,0.000000,top
"R53","1k","R_0805_2012Metric",35.000000,-38.000000,0.000000,top
"R54","1k","R_0805_2012Metric",65.000000,-38.000000,0.000000,top
"R55","10k","R_0805_2012Metric",57.000000,-68.000000,0.000000,top
"R57","1k","R_0805_2012Metric",74.500000,-96.500000,-90.000000,top
"R58","1k","R_0805_2012Metric",74.500000,-100.000000,-90.000000,top
"R61","100k","R_0805_2012Metric",54.000000,-42.000000,0.000000,top
"R62","100k","R_0805_2012Metric",44.000000,-37.500000,0.000000,top
"R63","100k","R_0805_2012Metric",54.000000,-37.500000,0.000000,top
"R64","100k","R_0805_2012Metric",44.000000,-42.000000,0.000000,top
"R65","10k","R_0805_2012Metric",40.000000,-66.000000,0.000000,top
"R77","4.7k","R_0805_2012Metric",56.000000,-61.000000,0.000000,top
"R78","4.7k","R_0805_2012Metric",56.000000,-64.000000,0.000000,top
"R79","10k","R_0805_2012Metric",56.000000,-55.000000,0.000000,top
"R80","10k","R_0805_2012Metric",56.000000,-58.000000,0.000000,top
"R81","220","R_0805_2012Metric",58.500000,-96.500000,-90.000000,top
"SW1","BTN_A (start / BOOT)","SW_PUSH_6mm",71.000000,-113.700000,0.000000,top
"SW2","RESET","SW_PUSH_6mm",64.000000,-102.000000,0.000000,top
"SW3","BTN_B","SW_PUSH_6mm",81.000000,-113.700000,0.000000,top
"SW4","BTN_C","SW_PUSH_6mm",91.000000,-113.700000,0.000000,top
"SW5","PWR ALL (PCM12SMTR slide; slide-to-GND = OFF)","SW_SPDT_PCM12",6.000000,-116.400000,0.000000,top
"SW6","PWR MOTORS (PCM12SMTR slide; slide-to-GND = motors OFF)","SW_SPDT_PCM12",15.500000,-116.400000,0.000000,top
"U1","AP63203WU-7 (fixed 3.3V 2A buck; AP63200WU base symbol so ERC checks pins)","TSOT-23-6",61.000000,-54.000000,0.000000,top
"U2","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",64.000000,-66.000000,0.000000,top
"U3","ESP32-S3-WROOM-1-N8R2 (quad PSRAM: IO35-37 usable; octal -R8 would lose them)","ESP32-S3-WROOM-1",35.250000,-106.700000,180.000000,top
"U4","CD74HC4067M","SOIC-24W_7.5x15.4mm_P1.27mm",8.000000,-56.000000,0.000000,top
"U7","TPS54302DDCR (6.0V/3A motor buck; FB=100k/11k)","SOT-23-6",81.000000,-54.000000,0.000000,top
"U8","BNO055 (9-axis IMU + fusion; 3.3V native; I2C 0x28)","BNO055",50.000000,-59.000000,0.000000,top
